stock_key,market,code,official_name
stock:000001.SZ,SZ,000001,平安银行
stock:000002.SZ,SZ,000002,万科A
stock:000004.SZ,SZ,000004,*ST国华
stock:000006.SZ,SZ,000006,深振业A
stock:000007.SZ,SZ,000007,全新好
stock:000008.SZ,SZ,000008,神州高铁
stock:000009.SZ,SZ,000009,中国宝安
stock:00001.HK,HK,00001,长和
stock:000010.SZ,SZ,000010,美丽生态
stock:000011.SZ,SZ,000011,深物业A
stock:000012.SZ,SZ,000012,南玻A
stock:000014.SZ,SZ,000014,沙河股份
stock:000016.SZ,SZ,000016,深康佳A
stock:000017.SZ,SZ,000017,深中华A
stock:000019.SZ,SZ,000019,深粮控股
stock:00002.HK,HK,00002,中电控股
stock:000020.SZ,SZ,000020,深华发A
stock:000021.SZ,SZ,000021,深科技
stock:000025.SZ,SZ,000025,特力A
stock:000026.SZ,SZ,000026,飞亚达
stock:000027.SZ,SZ,000027,深圳能源
stock:000028.SZ,SZ,000028,国药一致
stock:000029.SZ,SZ,000029,深深房A
stock:00003.HK,HK,00003,香港中华煤气
stock:000030.SZ,SZ,000030,富奥股份
stock:000031.SZ,SZ,000031,大悦城
stock:000032.SZ,SZ,000032,深桑达A
stock:000034.SZ,SZ,000034,神州数码
stock:000035.SZ,SZ,000035,中国天楹
stock:000036.SZ,SZ,000036,华联控股
stock:000037.SZ,SZ,000037,深南电A
stock:000039.SZ,SZ,000039,中集集团
stock:00004.HK,HK,00004,九龙仓集团
stock:000042.SZ,SZ,000042,中洲控股
stock:000045.SZ,SZ,000045,深纺织A
stock:000048.SZ,SZ,000048,京基智农
stock:000049.SZ,SZ,000049,德赛电池
stock:00005.HK,HK,00005,汇丰控股
stock:000050.SZ,SZ,000050,深天马A
stock:000055.SZ,SZ,000055,方大集团
stock:000056.SZ,SZ,000056,皇庭国际
stock:000058.SZ,SZ,000058,深赛格
stock:000059.SZ,SZ,000059,华锦股份
stock:00006.HK,HK,00006,电能实业
stock:000060.SZ,SZ,000060,中金岭南
stock:000061.SZ,SZ,000061,农产品
stock:000062.SZ,SZ,000062,深圳华强
stock:000063.SZ,SZ,000063,中兴通讯
stock:000065.SZ,SZ,000065,北方国际
stock:000066.SZ,SZ,000066,中国长城
stock:000068.SZ,SZ,000068,华控赛格
stock:000069.SZ,SZ,000069,华侨城A
stock:00007.HK,HK,00007,智富资源投资
stock:000070.SZ,SZ,000070,特发信息
stock:000078.SZ,SZ,000078,海王生物
stock:00008.HK,HK,00008,电讯盈科
stock:000088.SZ,SZ,000088,盐田港
stock:000089.SZ,SZ,000089,深圳机场
stock:000090.SZ,SZ,000090,天健集团
stock:000096.SZ,SZ,000096,广聚能源
stock:000099.SZ,SZ,000099,中信海直
stock:00010.HK,HK,00010,恒隆集团
stock:000100.SZ,SZ,000100,TCL科技
stock:00012.HK,HK,00012,恒基地产
stock:00013.HK,HK,00013,和黄医药
stock:00014.HK,HK,00014,希慎兴业
stock:000151.SZ,SZ,000151,中成股份
stock:000153.SZ,SZ,000153,丰原药业
stock:000155.SZ,SZ,000155,川能动力
stock:000156.SZ,SZ,000156,华数传媒
stock:000157.SZ,SZ,000157,中联重科
stock:000158.SZ,SZ,000158,常山北明
stock:000159.SZ,SZ,000159,国际实业
stock:00016.HK,HK,00016,新鸿基地产
stock:000166.SZ,SZ,000166,申万宏源
stock:00017.HK,HK,00017,新世界发展
stock:00018.HK,HK,00018,东方传媒集团
stock:00019.HK,HK,00019,太古股份公司A
stock:00020.HK,HK,00020,商汤－W
stock:00021.HK,HK,00021,大中华控股
stock:00022.HK,HK,00022,茂盛控股
stock:00023.HK,HK,00023,东亚银行
stock:00025.HK,HK,00025,CHEVALIERINT'L
stock:00026.HK,HK,00026,中华汽车
stock:00027.HK,HK,00027,银河娱乐
stock:00028.HK,HK,00028,天安
stock:00029.HK,HK,00029,达力集团
stock:00030.HK,HK,00030,云白国际
stock:000301.SZ,SZ,000301,东方盛虹
stock:00031.HK,HK,00031,航天控股
stock:00032.HK,HK,00032,港通控股
stock:00033.HK,HK,00033,INTLGENIUS
stock:000333.SZ,SZ,000333,美的集团
stock:000338.SZ,SZ,000338,潍柴动力
stock:00034.HK,HK,00034,九龙建业
stock:00035.HK,HK,00035,远东发展
stock:00036.HK,HK,00036,远东控股国际
stock:00037.HK,HK,00037,远东酒店实业
stock:00038.HK,HK,00038,第一拖拉机股份
stock:00039.HK,HK,00039,中国北大荒
stock:00040.HK,HK,00040,金山科技工业
stock:000400.SZ,SZ,000400,许继电气
stock:000401.SZ,SZ,000401,金隅冀东
stock:000402.SZ,SZ,000402,金融街
stock:000403.SZ,SZ,000403,派林生物
stock:000404.SZ,SZ,000404,长虹华意
